V1,V2,V3
l,1893,1124
l,1938,972
l,1910,1018
l,1847,1058
l,1848,1088
l,1845,1120
l,1926,1165
l,1906,1171
l,1800,1099
l,1637,984
l,1666,1037
l,1615,1132
l,1594,1133
l,1591,1188
l,1743,1123
l,1764,1145
l,1832,1259
l,1773,809
l,1802,823
l,1543,821
l,1517,1068
l,1515,1085
l,1547,1050
l,1463,1109
l,1476,1221
l,1701,1149
l,1575,892
l,1533,858
l,1755,855
l,1826,1221
l,1678,1213
l,1711,1221
l,1694,992
l,1687,1026
l,1717,1104
l,1642,1132
l,1676,1183
l,1547,1248
l,1802,1226
l,1779,1214
l,1853,911
l,1834,853
l,1506,849
l,1853,826
l,1775,1014
l,1810,973
l,1746,990
l,1853,1247
l,1566,805
l,1553,802
l,1778,1273
l,1451,982
l,1472,952
l,1462,900
l,1855,885
l,1869,860
l,1669,1049
l,1918,1140
l,1909,1106
l,1696,908
l,1634,852
l,1516,826
l,1754,770
t,1767,939
t,1723,827
t,1697,777
t,1951,1011
t,1970,976
t,1951,1070
t,1950,1210
t,1991,1167
t,1570,957
t,1666,1274
t,1949,877
t,1964,1106
t,1952,1167
t,1523,1235
t,1473,1172
t,1975,1242
t,1978,1208
t,1590,1077
t,1601,1039
t,1967,810
t,1652,1213
t,1605,1207
t,1986,1080
t,1960,1042
t,1994,839
t,1948,843
